year,prev_high,prev_low,prev_close,P,R1,S1,R2,S2,provisional
1928,17.65999984741211,17.65999984741211,17.65999984741211,17.65999984741211,17.65999984741211,17.65999984741211,17.65999984741211,17.65999984741211,False
1929,24.350000381469727,16.950000762939453,24.350000381469727,21.883333841959637,26.81666692097982,19.416667302449547,29.28333346048991,14.483334223429363,False
1930,31.86000061035156,17.65999984741211,21.450000762939453,23.656667073567707,29.653334299723305,15.453333536783855,37.85666783650716,9.456666310628258,False
1931,25.920000076293945,14.4399995803833,15.34000015258789,18.56666660308838,22.693333625793457,11.213333129882812,30.046667098999023,7.086666107177734,False
1932,18.170000076293945,7.71999979019165,8.119999885559082,11.336666584014893,14.953333377838135,4.50333309173584,21.786666870117188,0.8866662979125977,False
1933,9.3100004196167,4.400000095367432,6.920000076293945,6.876666863759358,9.353333632151285,4.443333307902018,11.786667188008625,1.9666665395100908,False
1934,12.199999809265137,5.53000020980835,9.970000267028809,9.233333428700766,12.936666647593182,6.266667048136394,15.903333028157553,2.5633338292439785,False
1935,11.81999969482422,8.359999656677246,9.5,9.893333117167154,11.426666577657063,7.966666539510088,13.353333155314129,6.43333307902018,False
1936,13.460000038146973,8.0600004196167,13.43000030517578,11.65000025431315,15.240000089009602,9.840000470479328,17.049999872843422,6.250000635782877,False
1937,17.690000534057617,13.399999618530272,17.18000030517578,16.09000015258789,18.780000686645508,14.489999771118164,20.380001068115234,11.799999237060545,False
1938,18.670000076293945,10.170000076293944,10.550000190734863,13.130000114440918,16.09000015258789,7.590000152587891,21.630000114440918,4.630000114440916,False
1939,13.90999984741211,8.5,13.140000343322754,11.850000063578287,15.200000127156574,9.790000279744465,17.259999910990395,6.440000216166178,False
1940,13.229999542236328,10.420000076293944,12.460000038146973,12.036666552225748,13.653333028157553,10.843333562215168,14.846666018168133,9.226667086283364,False
1941,12.770000457763672,8.989999771118164,10.579999923706056,10.78000005086263,12.570000330607098,8.78999964396159,14.560000737508139,6.999999364217123,False
1942,10.859999656677246,8.369999885559082,8.6899995803833,9.306666374206543,10.243332862854004,7.75333309173584,11.796666145324707,6.816666603088379,False
1943,9.770000457763672,7.46999979019165,9.770000457763672,9.003333568572998,10.536667346954346,8.236666679382324,11.30333423614502,6.703332901000977,False
1944,12.640000343322754,9.890000343322754,11.670000076293944,11.40000025431315,12.910000165303547,10.160000165303547,14.15000025431315,8.65000025431315,False
1945,13.279999732971191,11.5600004196167,13.279999732971191,12.706666628519693,13.853332837422688,12.133333524068195,14.426665941874186,10.986667315165201,False
1946,17.68000030517578,13.210000038146973,17.360000610351562,16.083333651224773,18.956667264302574,14.486666997273765,20.553333918253582,11.613333384195965,False
1947,19.25,14.119999885559082,15.300000190734863,16.22333335876465,18.326666831970215,13.196666717529297,21.353333473205566,11.09333324432373,False
1948,16.139999389648438,13.770000457763672,15.300000190734863,15.070000012715658,16.369999567667644,14.000000635782879,17.439998944600426,12.700001080830893,False
1949,17.059999465942383,13.84000015258789,15.199999809265137,15.366666475931803,16.893332799275715,13.673333485921223,18.586665789286293,12.14666716257731,False
1950,16.790000915527344,13.550000190734863,16.790000915527344,15.71000067392985,17.870001157124836,14.630000432332356,18.95000139872233,12.46999994913737,False
1951,20.43000030517578,16.65999984741211,20.43000030517578,19.173333485921223,21.686667124430336,17.916666666666664,22.943333943684895,15.403333028157551,False
1952,23.850000381469727,20.690000534057617,23.770000457763672,22.770000457763672,24.850000381469727,21.690000534057617,25.93000030517578,19.610000610351562,False
1953,26.59000015258789,23.09000015258789,26.56999969482422,25.416666666666668,27.743333180745445,24.243333180745445,28.916666666666668,21.916666666666668,False
1954,26.65999984741211,22.709999084472656,24.809999465942383,24.72666613260905,26.743333180745445,22.793332417805992,28.676666895548504,20.776665369669598,False
1955,35.97999954223633,24.799999237060547,35.97999954223633,32.2533327738444,39.70666631062825,28.52666600545247,43.43333307902018,21.073332468668617,False
1956,46.40999984741211,34.58000183105469,45.47999954223633,42.15666707356771,49.733332316080734,37.90333429972331,53.98666508992513,30.32666905721029,False
1957,49.63999938964844,43.11000061035156,46.66999816894531,46.47333272298177,49.836664835611984,43.30666605631511,53.00333150227865,39.9433339436849,False
1958,49.130001068115234,38.97999954223633,39.9900016784668,42.70000076293945,46.42000198364258,36.27000045776367,52.85000228881836,32.54999923706055,False
1959,55.209999084472656,40.33000183105469,55.209999084472656,50.25,60.16999816894531,45.290000915527344,65.12999725341797,35.37000274658203,False
1960,60.709999084472656,53.58000183105469,59.88999938964844,58.06000010172526,62.53999837239583,55.41000111897786,65.18999735514322,50.93000284830729,False
