date,log_p,log_cape,e10n,g20_e10n,cape_star_360m,cape_q05_360m,cape_q25_360m,cape_q75_360m,cape_q95_360m,cape_pctile_360m,val_gap,fwd12_log_ret
1881-01-31,1.8229350866965048,2.91636175623599,0.3350663625741444,,,,,,,,,-0.04459863780059048
1881-02-28,1.8196988379172965,2.8985194840095563,0.3399962652156007,,,,,,,,,-0.06356654633239267
1881-03-31,1.8309801823813363,2.905266891452671,0.34154128673788064,,,,,,,,,-0.07657649969705016
1881-04-30,1.827769906751088,2.887596147129069,0.34651601559117684,,,,,,,,,-0.07336622406680182
1881-05-31,1.8718021769015913,2.937558451646266,0.3444672443558314,,,,,,,,,-0.12958315323367242
1881-06-30,1.884034745337226,2.9459489297284627,0.34579326434556423,,,,,,,,,-0.14708351260416608
1881-07-31,1.8484548129046001,2.8968157941676154,0.3505117739289386,,,,,,,,,-0.05669534367654516
1881-08-31,1.824549292051046,2.849911014897592,0.3586667039974021,,,,,,,,,-0.003231020581446531
1881-09-30,1.8325814637483102,2.816894839077084,0.3736957275728344,,,,,,,,,-0.0016012813669739057
1881-10-31,1.8164520818184267,2.7888304466466667,0.3781825116533038,,,,,,,,,-0.013093476747019661
1881-11-30,1.8229350866965048,2.8020651373888694,0.3756377425431193,,,,,,,,,-0.06335451583268514
1881-12-31,1.7934247485471162,2.7700075317134503,0.37659581207791565,,,,,,,,,-0.028693951706980636
1882-01-31,1.7783364488959144,2.7523071954913956,0.377580779937514,,,,,,,,,-0.018755878032094664
1882-02-28,1.7561322915849038,2.718255385837966,0.3820808306294089,,,,,,,,,-0.019181058851843957
1882-03-31,1.7544036826842861,2.7141429558182963,0.38299272945265495,,,,,,,,,-0.005203827875027045
1882-04-30,1.7544036826842861,2.7025013123464294,0.38747744836030756,,,,,,,,,0.01545095115571904
1882-05-31,1.742219023667919,2.6787657810982513,0.3919790998076317,,,,,,,,,0.010453056852089304
1882-06-30,1.7369512327330598,2.662174129147891,0.3964430434929794,,,,,,,,,0.02434902901028657
1882-07-31,1.791759469228055,2.723960279322683,0.39368632740563814,,,,,,,,,-0.046043938501406645
1882-08-31,1.8213182714695995,2.7424792816376904,0.3980566249125186,,,,,,,,,-0.12203965503570968
1882-09-30,1.8309801823813363,2.777645081312087,0.38803299708913114,,,,,,,,,-0.12079236684709294
1882-10-31,1.803358605071407,2.757194653648647,0.3852603079657502,,,,,,,,,-0.12067023089771389
1882-11-30,1.7595805708638197,2.720813095309468,0.3824212518430871,,,,,,,,,-0.06213178110700612
1882-12-31,1.7647307968401356,2.733206337603699,0.37966137545606815,,,,,,,,,-0.0895051438680321
1883-01-31,1.7595805708638197,2.7259070882482286,0.38047815395178247,,,,,,,,,-0.11477551459242807
1883-02-28,1.7369512327330598,2.6917575366132023,0.38488668839144563,,,,,,,,,-0.0654779293795067
1883-03-31,1.749199854809259,2.711461318048797,0.38202796614960954,,,,,,,,,-0.08149303425118304
1883-04-30,1.7698546338400052,2.7396824007209495,0.37914833438036166,,,,,,,,,-0.14848815054063103
1883-05-31,1.7526720805200082,2.730170248121338,0.3762512398653357,,,,,,,,,-0.21580486092074325
1883-06-30,1.7613002617433464,2.7665321927225244,0.365959747557814,,,,,,,,,-0.26615149571137375
1883-07-31,1.7457155307266483,2.769382533343408,0.3592750590666352,,,,,,,,,-0.25056676469467565
1883-08-31,1.6992786164338898,2.721085595090841,0.3599439411601773,,,,,,,,,-0.14324148072690468
1883-09-30,1.7101878155342434,2.74049754114231,0.3568964034932637,,,,,,,,,-0.18630779146178966
1883-10-31,1.682688374173693,2.7112488313739713,0.35752125745606145,,,,,,,,,-0.19203399772955954
1883-11-30,1.6974487897568136,2.734901012694963,0.35435635383159403,,,,,,,,,-0.22727294465622094
1883-12-31,1.6752256529721035,2.7011198376406678,0.35847577850547296,,,,,,,,,-0.20735130485978992
1884-01-31,1.6448050562713916,2.669504899197362,0.35890417686754994,,,,,,,,,-0.20024178702752526
1884-02-29,1.6714733033535532,2.695029817864166,0.35931475688052505,,,,,,,,,-0.19671029424605435
1884-03-31,1.667706820558076,2.6902950711250444,0.3596628368935001,,,,,,,,,-0.1906580961697213
1884-04-30,1.6213664832993742,2.6639905879923247,0.3525283957366461,,,,,,,,,-0.14660347419187536
1884-05-31,1.536867219599265,2.600097462892668,0.3453384793692626,,,,,,,,,-0.07361181734324607
1884-06-30,1.4951487660319727,2.5577602300905853,0.3455522337758442,,,,,,,,,-0.03653374333245596
1884-07-31,1.4951487660319727,2.5683230130491412,0.3419214498786353,,,,,,,,,0.0
1884-08-31,1.556037135706985,2.6289935262662607,0.3419959477892144,,,,,,,,,-0.006349227678658753
1884-09-30,1.5238800240724537,2.6077991833537606,0.33826720134620314,,,,,,,,,0.012987195526811268
1884-10-31,1.4906543764441336,2.5857508310789985,0.33450734060911547,,,,,,,,,0.10265415406008316
1884-11-30,1.4701758451005926,2.588097633872209,0.3269585780391751,,,,,,,,,0.1861456532323582
1884-12-31,1.4678743481123135,2.5976617142775207,0.3231019515255244,,,,,,,,,0.1807842774750681
1885-01-31,1.4445632692438664,2.574885783087484,0.32292909052348306,,,,,,,,,0.20409535634351528
