date,P,D,E,CPI,GS10,real_P,real_D,real_E,E10,CAPE
1871-01-31,4.44,0.26,0.4,12.46406116,5.32,119.3797182875826,6.990704224047629,10.754929575457894,,
1871-02-28,4.5,0.26,0.4,12.84464132,5.323333333333333,117.40799820169677,6.7835732294313695,10.436266506817493,,
1871-03-31,4.61,0.26,0.4,13.0349719,5.326666666666667,118.52172865060031,6.684522657083749,10.283881010898076,,
1871-04-30,4.74,0.26,0.4,12.55922645,5.33,126.48021686080834,6.937733414305942,10.673436022009144,,
1871-05-31,4.86,0.26,0.4,12.27381157,5.333333333333334,132.69787512307394,7.09906327818914,10.921635812598678,,
1871-06-30,4.82,0.26,0.4,12.08348099,5.336666666666667,133.678673085743,7.21088278055875,11.093665816244233,,
1871-07-31,4.73,0.26,0.4,12.08348099,5.34,131.18259827708803,7.21088278055875,11.093665816244233,,
1871-08-31,4.79,0.26,0.4,11.8932314,5.343333333333334,134.97172412705265,7.326231372240853,11.271125188062852,,
1871-09-30,4.84,0.26,0.4,12.17864628,5.346666666666668,133.1844420724895,7.154536144389932,11.00697868367682,,
1871-10-31,4.59,0.26,0.4,12.36889587,5.3500000000000005,124.36234516541371,7.044490140088794,10.837677138598146,,
1871-11-30,4.64,0.26,0.4,12.36889587,5.3533333333333335,125.71705480773846,7.044490140088794,10.837677138598146,,
1871-12-31,4.74,0.26,0.4,12.65439174,5.3566666666666665,125.52904301032807,6.885559321241623,10.593168186525576,,
1872-01-31,4.86,0.2633,0.4025,12.65439174,5.36,128.70699346628572,6.972952958780458,10.65937548769136,,
1872-02-29,4.88,0.2667,0.405,12.65439174,5.378333333333333,129.236651875612,7.062994888365926,10.725582788857144,,
1872-03-31,5.04,0.27,0.4075,12.84464132,5.3966666666666665,131.4969579859004,7.044479892101807,10.631946503820318,,
1872-04-30,5.18,0.2733,0.41,13.13013719,5.415000000000001,132.2110172864081,6.975534946790605,10.464578588306434,,
1872-05-31,5.18,0.2767,0.4125,13.13013719,5.433333333333334,132.2110172864081,7.062314378986318,10.528386994332692,,
1872-06-30,5.13,0.28,0.415,13.0349719,5.451666666666666,131.89077396476782,7.198716707628653,10.669526548806752,,
1872-07-31,5.1,0.2833,0.4175,12.84464132,5.470000000000001,133.062397961923,7.3914857534534875,10.892853166490756,,
1872-08-31,5.04,0.2867,0.42,12.93980661,5.488333333333333,130.52986886950083,7.425181231128152,10.8774890724584,,
1872-09-30,4.95,0.29,0.4225,13.0349719,5.506666666666667,127.26302750986368,7.455813732901103,10.86234931776109,,
1872-10-31,4.97,0.2933,0.425,12.74947603,5.5249999999999995,130.63850534569772,7.709511794344697,11.171300758937932,,
1872-11-30,4.95,0.2967,0.4275,13.13013719,5.543333333333333,126.34064393199232,7.572781627196388,10.911237430490246,,
1872-12-31,5.07,0.3,0.43,12.93980661,5.5616666666666665,131.30683237467642,7.769635051756,11.136476907516936,,
1873-01-31,5.11,0.3025,0.4325,12.93980661,5.58,132.34278371491055,7.834382010520635,11.20122386628157,,
1873-02-28,5.15,0.305,0.435,13.22522149,5.570833333333334,130.5002747065524,7.72865704572786,11.02283873734957,,
1873-03-31,5.11,0.3075,0.4375,13.22522149,5.561666666666666,129.48668033989955,7.792006693643661,11.086188385265373,,
